"order_item_id","order_id","order_date","customer_id","customer_region","product_category","quantity_sold","discount_percent","line_revenue","payment_method"
44,28,"2023-08-29","1162","Africa","Sports","2","0","115.86","Credit Card"
45,28,"2023-08-29","1162","Africa","Sports","4","15","82.36","Credit Card"
46,28,"2023-08-29","1162","Africa","Sports","2","15","286.34","Credit Card"
47,29,"2024-09-28","584","Africa","Sports","1","5","172.19","Apple Pay"
48,30,"2022-05-05","18","Europe","Home & Kitchen","1","20","128.19","Unknown"
49,31,"2024-03-27","874","Europe","Fashion","1","20","140.42","Credit Card"
50,32,"2024-07-05","751","Asia","Fashion","1","15","77.96","Bank Transfer"
51,32,"2024-07-05","751","Asia","Home & Kitchen","2","0","394.28","Bank Transfer"
52,32,"2024-07-05","751","Asia","Fashion","1","15","77.96","Bank Transfer"
53,33,"2022-07-04","211","South America","Fashion","1","0","36.24","PayPal"
54,33,"2022-07-04","211","South America","Sports","1","5","73.98","PayPal"
55,33,"2022-07-04","211","South America","Books","3","10","106.86","PayPal"
56,34,"2023-08-18","816","South America","Beauty","2","5","20.92","PayPal"
57,35,"2022-03-15","1754","Africa","Fashion","3","0","225.9","Bank Transfer"
58,36,"2023-09-10","895","South America","Electronics","1","20","681.28","Apple Pay"
59,36,"2023-09-10","895","South America","Electronics","2","20","1233.4","Apple Pay"
60,37,"2022-06-23","1047","Europe","Home & Kitchen","2","0","166.92","Bank Transfer"
61,37,"2022-06-23","1047","Europe","Fashion","2","0","181.62","Bank Transfer"
62,38,"2023-02-02","560","Middle East","Fashion","2","0","321","PayPal"
63,38,"2023-02-02","560","Middle East","Electronics","1","30","622.57","PayPal"
64,39,"2024-02-11","1062","Africa","Beauty","2","10","167.68","Credit Card"
65,40,"2024-02-23","1704","North America","Sports","3","15","177.69","UPI"
66,40,"2024-02-23","1704","North America","Electronics","1","10","153.52","UPI"
67,41,"2024-07-04","1678","South America","Beauty","1","20","64.94","Bank Transfer"
68,42,"2022-07-15","985","Asia","Fashion","2","0","140.7","Debit Card"
69,42,"2022-07-15","985","Asia","Home & Kitchen","2","10","503.22","Debit Card"
70,42,"2022-07-15","985","Asia","Electronics","3","0","1455.78","Debit Card"
71,43,"2023-06-01","1239","Middle East","Home & Kitchen","1","15","41.81","Apple Pay"
72,44,"2022-01-12","1813","Asia","Electronics","2","30","253.94","Debit Card"
73,44,"2022-01-12","1813","Asia","Electronics","1","15","746.02","Debit Card"
74,45,"2022-08-04","1396","North America","Books","1","20","17.46","Credit Card"
75,46,"2023-02-09","945","North America","Sports","2","15","67.36","Credit Card"
76,47,"2022-10-14","1871","Europe","Sports","1","10","176.74","Bank Transfer"
77,48,"2023-07-10","98","Asia","Electronics","2","15","1511.38","Bank Transfer"
78,48,"2023-07-10","98","Asia","Sports","3","25","180.57","Bank Transfer"
79,48,"2023-07-10","98","Asia","Sports","2","5","129.82","Bank Transfer"
80,49,"2023-03-08","313","Middle East","Electronics","4","20","886","Apple Pay"
81,49,"2023-03-08","313","Middle East","Books","1","10","34.19","Apple Pay"
82,50,"2024-08-21","1965","South America","Fashion","1","0","145.31","Credit Card"
83,51,"2023-11-09","1516","North America","Home & Kitchen","1","15","58.87","Bank Transfer"
84,52,"2023-12-08","890","South America","Sports","2","5","71.62","Debit Card"
85,53,"2023-06-06","346","Europe","Electronics","2","5","508.8","Apple Pay"
86,53,"2023-06-06","346","Europe","Electronics","1","20","287.2","Apple Pay"
87,54,"2023-11-08","209","South America","Sports","2","10","403.2","Bank Transfer"
88,54,"2023-11-08","209","South America","Beauty","1","5","60.38","Bank Transfer"
89,55,"2022-07-07","380","Asia","Beauty","1","0","65.51","Bank Transfer"
90,56,"2022-04-17","1026","Africa","Sports","1","10","127.79","UPI"
91,57,"2023-05-09","1907","South America","Sports","1","20","114.76","UPI"
92,57,"2023-05-09","1907","South America","Electronics","2","25","824.64","UPI"
93,58,"2023-07-23","1235","North America","Home & Kitchen","2","5","137.56","UPI"
94,58,"2023-07-23","1235","North America","Home & Kitchen","2","10","344.6","UPI"
95,59,"2022-12-31","1384","South America","Home & Kitchen","2","15","459.06","PayPal"
96,59,"2022-12-31","1384","South America","Sports","2","20","124.6","PayPal"
97,59,"2022-12-31","1384","South America","Books","1","0","31.81","PayPal"
98,60,"2023-02-06","1305","Europe","Books","1","0","27.7","Bank Transfer"
99,61,"2023-06-04","1565","Africa","Sports","2","15","272.84","Credit Card"
100,61,"2023-06-04","1565","Africa","Home & Kitchen","1","15","228.22","Credit Card"
101,62,"2023-07-16","1331","North America","Fashion","5","15","600.9","Bank Transfer"
102,62,"2023-07-16","1331","North America","Sports","1","20","107.7","Bank Transfer"
103,62,"2023-07-16","1331","North America","Beauty","3","20","154.26","Bank Transfer"
104,63,"2024-01-27","268","Africa","Electronics","1","0","308.91","Apple Pay"
105,64,"2022-04-25","1420","Africa","Home & Kitchen","3","5","812.28","Apple Pay"
106,65,"2022-02-04","187","South America","Fashion","4","0","336.92","Apple Pay"
107,65,"2022-02-04","187","South America","Books","2","10","48.86","Apple Pay"
108,65,"2022-02-04","187","South America","Beauty","4","10","64.92","Apple Pay"
109,66,"2022-05-14","1743","South America","Sports","1","10","210.9","Unknown"
110,67,"2023-02-11","352","South America","Electronics","3","10","842.64","UPI"
111,68,"2022-08-30","92","South America","Beauty","2","10","204","Bank Transfer"
112,68,"2022-08-30","92","South America","Electronics","4","0","2196.12","Bank Transfer"
113,68,"2022-08-30","92","South America","Fashion","2","30","117.92","Bank Transfer"
114,69,"2022-01-22","21","South America","Beauty","2","5","109.24","PayPal"
115,70,"2022-09-29","1044","Middle East","Fashion","1","15","103.43","UPI"
116,70,"2022-09-29","1044","Middle East","Books","1","5","27.76","UPI"
117,71,"2022-12-29","1427","North America","Sports","1","5","144.61","PayPal"
118,71,"2022-12-29","1427","North America","Home & Kitchen","1","15","121.92","PayPal"
119,72,"2022-12-16","636","Europe","Beauty","2","30","106.08","Bank Transfer"
120,73,"2023-12-12","1212","Asia","Electronics","1","15","159.37","Apple Pay"
121,73,"2023-12-12","1212","Asia","Fashion","1","20","31.02","Apple Pay"
122,74,"2023-03-23","1651","Middle East","Books","2","5","65.84","Credit Card"
123,74,"2023-03-23","1651","Middle East","Electronics","1","15","142.27","Credit Card"
124,74,"2023-03-23","1651","Middle East","Fashion","4","5","558.4","Credit Card"
125,75,"2024-01-05","1997","Europe","Sports","1","15","124.42","Credit Card"
126,76,"2023-01-19","1397","Africa","Home & Kitchen","1","0","67.58","PayPal"
127,77,"2024-06-09","841","Africa","Home & Kitchen","2","15","575.4","UPI"
128,77,"2024-06-09","841","Africa","Fashion","2","5","252.98","UPI"
129,77,"2024-06-09","841","Africa","Sports","3","25","175.77","UPI"
130,78,"2024-05-12","1078","South America","Home & Kitchen","2","0","542.52","PayPal"
131,78,"2024-05-12","1078","South America","Fashion","4","25","132.48","PayPal"
132,78,"2024-05-12","1078","South America","Fashion","1","30","44.37","PayPal"
133,78,"2024-05-12","1078","South America","Books","1","5","38.37","PayPal"
134,79,"2022-07-05","321","North America","Home & Kitchen","1","10","61.76","Debit Card"
135,79,"2022-07-05","321","North America","Sports","1","0","217.98","Debit Card"
136,79,"2022-07-05","321","North America","Beauty","1","5","81.06","Debit Card"
137,80,"2024-06-13","991","Middle East","Beauty","3","10","235.02","Debit Card"
138,81,"2022-11-23","1125","Europe","Books","2","25","61.82","UPI"
139,81,"2022-11-23","1125","Europe","Fashion","3","15","71.82","UPI"
140,82,"2024-03-04","1498","Africa","Beauty","4","20","55.56","Debit Card"
141,83,"2024-03-17","1361","South America","Beauty","5","0","109.6","PayPal"
142,84,"2023-04-27","99","South America","Electronics","2","25","1100.74","PayPal"
143,85,"2022-10-10","345","Asia","Sports","1","10","34.97","Credit Card"
144,86,"2024-05-21","1470","Middle East","Electronics","2","30","528.28","PayPal"
145,87,"2022-12-01","575","South America","Beauty","3","5","274.8","Bank Transfer"
146,87,"2022-12-01","575","South America","Sports","2","10","356.06","Bank Transfer"
147,87,"2022-12-01","575","South America","Books","1","0","20.77","Bank Transfer"
148,88,"2024-07-20","360","Europe","Fashion","1","0","77.63","Apple Pay"
149,88,"2024-07-20","360","Europe","Sports","1","15","32.7","Apple Pay"
150,88,"2024-07-20","360","Europe","Books","2","20","69.26","Apple Pay"
151,88,"2024-07-20","360","Europe","Home & Kitchen","1","10","255.56","Apple Pay"
152,89,"2022-08-17","910","South America","Fashion","3","0","82.8","UPI"
153,89,"2022-08-17","910","South America","Sports","1","25","144.34","UPI"
154,90,"2023-02-09","1610","Africa","Beauty","1","10","85.9","Bank Transfer"
155,90,"2023-02-09","1610","Africa","Beauty","1","10","94.03","Bank Transfer"
156,91,"2022-04-13","205","Europe","Beauty","1","5","38.55","Apple Pay"
157,92,"2023-07-02","1363","Middle East","Electronics","1","15","147.81","PayPal"
158,93,"2022-03-16","1872","Europe","Home & Kitchen","2","0","663.22","UPI"
159,94,"2024-10-07","1379","North America","Books","2","5","39.04","PayPal"
160,95,"2022-03-25","189","South America","Books","1","30","23.95","PayPal"
161,96,"2023-11-23","1184","Middle East","Home & Kitchen","1","25","217.98","Apple Pay"
162,97,"2022-06-12","1971","Asia","Sports","2","30","71.52","UPI"
163,97,"2022-06-12","1971","Asia","Books","2","20","31","UPI"
164,97,"2022-06-12","1971","Asia","Home & Kitchen","3","10","714.24","UPI"
165,97,"2022-06-12","1971","Asia","Sports","1","25","110.88","UPI"
166,98,"2023-01-16","1887","South America","Books","4","15","137.36","Apple Pay"
167,99,"2022-01-11","1875","Africa","Electronics","1","15","722.96","Credit Card"
168,99,"2022-01-11","1875","Africa","Sports","1","5","54.88","Credit Card"
169,100,"2023-03-29","1194","South America","Beauty","3","15","248.67","PayPal"
170,100,"2023-03-29","1194","South America","Books","2","10","56.82","PayPal"
171,101,"2023-12-04","615","North America","Home & Kitchen","1","20","38.61","PayPal"
172,101,"2023-12-04","615","North America","Home & Kitchen","2","0","119.86","PayPal"
173,101,"2023-12-04","615","North America","Fashion","1","0","29","PayPal"
174,102,"2024-09-23","543","Europe","Home & Kitchen","5","10","1535.4","PayPal"
175,103,"2023-10-08","1255","North America","Electronics","2","15","693.72","UPI"
176,104,"2022-02-17","1474","Middle East","Sports","5","10","617.65","PayPal"
177,104,"2022-02-17","1474","Middle East","Books","1","15","28.86","PayPal"
178,105,"2022-07-18","1029","Africa","Fashion","1","20","41.35","Debit Card"
179,105,"2022-07-18","1029","Africa","Fashion","2","5","143.06","Debit Card"
180,105,"2022-07-18","1029","Africa","Electronics","1","10","162.05","Debit Card"
181,105,"2022-07-18","1029","Africa","Home & Kitchen","2","15","229.64","Debit Card"
182,106,"2024-10-25","842","Europe","Sports","2","10","197.54","UPI"
183,107,"2022-11-18","360","Europe","Electronics","2","15","1272.98","Unknown"
184,108,"2022-07-21","1276","South America","Sports","1","15","154.94","Apple Pay"
185,109,"2022-10-11","985","Asia","Sports","2","10","87.84","Bank Transfer"
186,109,"2022-10-11","985","Asia","Electronics","1","15","531.87","Bank Transfer"
187,109,"2022-10-11","985","Asia","Home & Kitchen","2","25","342.02","Bank Transfer"
188,109,"2022-10-11","985","Asia","Fashion","3","25","289.77","Bank Transfer"
189,110,"2024-11-13","468","Middle East","Electronics","3","25","1135.08","Debit Card"
190,111,"2023-10-23","602","North America","Home & Kitchen","2","10","107.88","Credit Card"
191,111,"2023-10-23","602","North America","Home & Kitchen","2","30","132.26","Credit Card"
192,111,"2023-10-23","602","North America","Electronics","1","20","147.98","Credit Card"
193,112,"2022-11-23","1638","Africa","Books","3","15","52.41","Apple Pay"
194,112,"2022-11-23","1638","Africa","Home & Kitchen","3","30","411.06","Apple Pay"
195,112,"2022-11-23","1638","Africa","Sports","1","10","102.6","Apple Pay"
196,112,"2022-11-23","1638","Africa","Beauty","4","10","139.08","Apple Pay"
197,113,"2024-06-17","1491","North America","Beauty","1","20","46.02","Apple Pay"
198,114,"2024-01-15","1229","Middle East","Sports","1","0","48.56","Bank Transfer"
199,114,"2024-01-15","1229","Middle East","Electronics","3","15","1535.73","Bank Transfer"
200,115,"2022-12-13","1540","Asia","Sports","3","5","171.9","Apple Pay"
201,116,"2023-11-07","1393","Africa","Fashion","3","20","162.15","Credit Card"
202,117,"2023-08-28","1300","South America","Beauty","1","5","18.68","PayPal"
203,117,"2023-08-28","1300","South America","Beauty","3","0","316.68","PayPal"
204,118,"2022-02-23","1761","Europe","Books","1","15","28.57","PayPal"
205,118,"2022-02-23","1761","Europe","Fashion","2","10","95.92","PayPal"
206,119,"2023-08-27","395","Asia","Electronics","1","15","195.33","Apple Pay"
207,120,"2023-03-10","221","Europe","Electronics","1","25","238.39","Debit Card"
208,120,"2023-03-10","221","Europe","Sports","1","15","96.44","Debit Card"
209,121,"2023-12-06","1843","Africa","Home & Kitchen","2","10","279.78","Bank Transfer"
210,121,"2023-12-06","1843","Africa","Books","2","20","36.7","Bank Transfer"
211,121,"2023-12-06","1843","Africa","Electronics","1","0","439.35","Bank Transfer"
212,122,"2023-12-03","1585","Africa","Sports","2","15","394.3","Debit Card"
213,123,"2023-02-08","1544","North America","Sports","3","20","485.46","UPI"
214,123,"2023-02-08","1544","North America","Home & Kitchen","3","25","319.35","UPI"
215,124,"2024-01-15","642","Europe","Books","2","5","61.2","UPI"
216,124,"2024-01-15","642","Europe","Beauty","2","20","176.48","UPI"
217,125,"2022-04-25","1719","Europe","Fashion","3","5","90.27","Bank Transfer"
218,126,"2023-04-13","1995","Africa","Sports","1","5","44.53","UPI"
219,127,"2022-05-11","1519","Asia","Sports","1","5","204.85","Debit Card"
220,127,"2022-05-11","1519","Asia","Fashion","1","0","141.35","Debit Card"
221,128,"2023-10-16","638","Asia","Sports","1","10","123.44","Credit Card"
222,129,"2023-03-17","339","South America","Sports","1","25","54.88","PayPal"
223,129,"2023-03-17","339","South America","Home & Kitchen","4","20","701.72","PayPal"
224,130,"2024-07-23","662","Asia","Beauty","1","15","85.43","PayPal"
225,130,"2024-07-23","662","Asia","Electronics","2","30","731.78","PayPal"
226,131,"2023-06-26","652","North America","Electronics","2","15","1470.98","Debit Card"
227,132,"2024-09-25","880","South America","Sports","1","20","114.18","Bank Transfer"
228,133,"2022-07-13","1718","Asia","Home & Kitchen","2","5","176.02","UPI"
229,134,"2023-04-20","556","North America","Sports","1","15","99.33","Bank Transfer"
230,135,"2022-11-13","1591","North America","Electronics","1","20","147.98","Debit Card"
231,135,"2022-11-13","1591","North America","Electronics","4","20","1849","Debit Card"
232,136,"2023-07-06","1566","Middle East","Sports","1","5","198.54","PayPal"
233,137,"2023-10-08","972","Asia","Electronics","1","10","635.72","UPI"
234,137,"2023-10-08","972","Asia","Beauty","1","15","94.69","UPI"
235,138,"2024-07-24","1633","South America","Books","1","15","27.04","Credit Card"
236,138,"2024-07-24","1633","South America","Sports","3","0","549.36","Credit Card"
237,138,"2024-07-24","1633","South America","Sports","3","5","107.43","Credit Card"
238,139,"2023-03-17","1700","Asia","Electronics","1","20","718.6","UPI"
239,139,"2023-03-17","1700","Asia","Electronics","2","30","754.66","UPI"
240,139,"2023-03-17","1700","Asia","Home & Kitchen","3","10","770.19","UPI"
241,140,"2023-05-27","122","South America","Sports","1","15","177.85","Bank Transfer"
242,140,"2023-05-27","122","South America","Books","2","10","30.12","Bank Transfer"
243,141,"2022-08-16","509","Middle East","Sports","3","20","468.72","Apple Pay"
244,142,"2023-02-14","303","North America","Sports","2","15","393.66","UPI"
245,143,"2022-02-14","1035","Middle East","Fashion","4","10","324.92","Credit Card"
246,143,"2022-02-14","1035","Middle East","Beauty","1","25","54.2","Credit Card"
247,143,"2022-02-14","1035","Middle East","Books","1","5","35.12","Credit Card"
248,144,"2023-11-14","535","Middle East","Sports","3","0","152.22","Apple Pay"
249,145,"2024-04-21","1738","Africa","Books","1","30","22.41","UPI"
250,145,"2024-04-21","1738","Africa","Sports","1","10","59.06","UPI"
251,146,"2024-10-29","1474","Middle East","Books","1","5","23.59","PayPal"
252,146,"2024-10-29","1474","Middle East","Sports","2","15","139.96","PayPal"
253,147,"2024-12-25","802","Asia","Electronics","2","20","972.3","Bank Transfer"
254,147,"2024-12-25","802","Asia","Sports","3","20","122.61","Bank Transfer"
255,147,"2024-12-25","802","Asia","Beauty","3","10","110.67","Bank Transfer"
256,148,"2023-11-08","1465","Europe","Home & Kitchen","2","15","113.26","Apple Pay"
257,148,"2023-11-08","1465","Europe","Electronics","4","10","1293.76","Apple Pay"
258,149,"2022-01-14","569","Africa","Electronics","1","25","433.77","UPI"
259,150,"2024-12-26","1249","Africa","Beauty","2","5","127.46","Apple Pay"
260,151,"2023-01-22","1036","Africa","Beauty","1","15","49.85","Debit Card"
261,152,"2022-09-18","1214","North America","Home & Kitchen","4","15","561.16","Credit Card"
262,153,"2023-09-13","502","Middle East","Home & Kitchen","1","5","45.45","PayPal"
263,154,"2024-06-19","1787","South America","Electronics","3","10","1371.24","UPI"
264,155,"2024-06-17","865","Europe","Home & Kitchen","3","0","621.63","Debit Card"
265,155,"2024-06-17","865","Europe","Beauty","2","15","100.74","Debit Card"
266,156,"2022-11-30","283","Europe","Home & Kitchen","2","20","545.92","Credit Card"
267,156,"2022-11-30","283","Europe","Fashion","1","5","81.65","Credit Card"
268,156,"2022-11-30","283","Europe","Electronics","3","10","1624.5","Credit Card"
269,157,"2024-07-24","1136","Africa","Electronics","5","10","2417.5","UPI"
270,157,"2024-07-24","1136","Africa","Sports","3","10","521.28","UPI"
271,157,"2024-07-24","1136","Africa","Electronics","2","20","409.26","UPI"
272,158,"2024-08-23","1936","Asia","Electronics","1","10","811.35","PayPal"
273,158,"2024-08-23","1936","Asia","Home & Kitchen","1","10","278.24","PayPal"
274,159,"2024-08-20","391","Asia","Fashion","3","15","249.39","Credit Card"
275,159,"2024-08-20","391","Asia","Sports","2","20","109.32","Credit Card"
276,160,"2022-12-20","71","North America","Electronics","3","10","885.63","Bank Transfer"
277,160,"2022-12-20","71","North America","Sports","3","0","419.58","Bank Transfer"
278,160,"2022-12-20","71","North America","Beauty","1","15","9.83","Bank Transfer"
279,160,"2022-12-20","71","North America","Electronics","3","0","1043.13","Bank Transfer"
280,161,"2023-11-11","1392","Europe","Electronics","1","15","440.5","UPI"
281,162,"2022-11-20","303","North America","Electronics","1","30","433.8","PayPal"
282,162,"2022-11-20","303","North America","Books","5","20","82.2","PayPal"
283,162,"2022-11-20","303","North America","Home & Kitchen","1","20","57.41","PayPal"
284,163,"2023-09-30","1696","South America","Electronics","2","20","1374.9","PayPal"
285,164,"2024-09-05","1820","South America","Sports","2","20","126.28","Bank Transfer"
286,165,"2023-04-07","1898","Middle East","Electronics","1","10","523.37","Apple Pay"
287,166,"2023-01-14","573","South America","Sports","2","10","44.04","PayPal"
288,167,"2022-09-27","1142","Africa","Sports","2","20","115.88","PayPal"
289,167,"2022-09-27","1142","Africa","Books","2","20","58.42","PayPal"
290,168,"2022-01-30","932","Africa","Home & Kitchen","1","5","134.62","Credit Card"
291,168,"2022-01-30","932","Africa","Books","2","20","44.18","Credit Card"
292,168,"2022-01-30","932","Africa","Electronics","2","15","261.8","Credit Card"
293,169,"2023-03-16","1019","Europe","Electronics","3","15","1428.6","PayPal"
294,169,"2023-03-16","1019","Europe","Sports","1","25","84.88","PayPal"
295,170,"2023-11-30","1440","North America","Fashion","2","15","151.54","UPI"
296,170,"2023-11-30","1440","North America","Sports","3","5","332.22","UPI"
297,171,"2024-05-23","902","Middle East","Home & Kitchen","5","20","1180.7","Bank Transfer"
298,172,"2023-08-29","964","North America","Home & Kitchen","2","25","381.34","PayPal"
299,173,"2024-03-25","1176","Africa","Home & Kitchen","2","20","504.62","Bank Transfer"
300,174,"2023-12-26","1559","North America","Home & Kitchen","2","20","554.8","Debit Card"
301,174,"2023-12-26","1559","North America","Electronics","2","30","1246.32","Debit Card"
302,175,"2024-02-06","1259","Middle East","Home & Kitchen","3","5","751.59","Apple Pay"
303,176,"2024-05-18","1333","South America","Beauty","4","5","461.24","PayPal"
304,177,"2024-09-02","517","Africa","Beauty","1","5","76.33","Debit Card"
305,177,"2024-09-02","517","Africa","Sports","2","5","462.62","Debit Card"
306,178,"2022-05-02","979","North America","Sports","3","20","360.03","Debit Card"
307,179,"2024-03-12","387","Asia","Fashion","1","20","113.08","Apple Pay"
308,180,"2023-04-09","585","South America","Books","1","15","34.34","PayPal"
309,181,"2023-02-26","390","Middle East","Books","1","0","37.79","Apple Pay"
310,182,"2024-12-09","1562","Asia","Electronics","2","5","1144.2","Apple Pay"
311,182,"2024-12-09","1562","Asia","Home & Kitchen","2","0","689.22","Apple Pay"
312,183,"2023-07-12","1925","Africa","Home & Kitchen","1","15","246.39","Credit Card"
313,184,"2022-12-11","363","North America","Home & Kitchen","3","5","206.34","Apple Pay"
314,184,"2022-12-11","363","North America","Books","1","15","30.57","Apple Pay"
315,184,"2022-12-11","363","North America","Beauty","2","10","204.5","Apple Pay"
316,185,"2024-06-04","1737","North America","Beauty","1","15","60.25","Apple Pay"
317,186,"2023-05-31","1535","Africa","Beauty","1","5","23.71","PayPal"
318,187,"2022-07-27","251","Asia","Electronics","1","10","770.74","UPI"
319,188,"2024-02-09","950","South America","Books","2","20","54.74","Apple Pay"
320,189,"2022-07-14","1633","South America","Electronics","2","20","1317.24","Debit Card"
321,190,"2023-12-13","866","North America","Electronics","3","10","2447.97","UPI"
322,190,"2023-12-13","866","North America","Books","2","0","80.96","UPI"
323,190,"2023-12-13","866","North America","Electronics","1","10","815.99","UPI"
324,191,"2024-04-24","1492","Asia","Fashion","1","15","27.19","Apple Pay"
325,192,"2023-05-25","190","North America","Beauty","5","5","98.15","Credit Card"
326,193,"2023-03-05","1997","Europe","Sports","3","20","263.37","Bank Transfer"
327,193,"2023-03-05","1997","Europe","Electronics","3","10","969.3","Bank Transfer"
328,194,"2023-10-11","524","Europe","Electronics","2","15","1022.84","Credit Card"
329,194,"2023-10-11","524","Europe","Home & Kitchen","3","5","573.12","Credit Card"
330,194,"2023-10-11","524","Europe","Beauty","2","5","49.44","Credit Card"
331,195,"2024-01-11","1997","Europe","Books","1","5","21.8","Debit Card"
332,196,"2022-12-31","1991","Europe","Home & Kitchen","1","15","281.87","Apple Pay"
333,197,"2023-06-24","1555","Middle East","Home & Kitchen","1","10","261.58","PayPal"
334,197,"2023-06-24","1555","Middle East","Home & Kitchen","4","20","584.4","PayPal"
335,198,"2022-06-18","55","Europe","Books","1","0","18.97","Debit Card"
336,199,"2022-02-23","1843","Africa","Beauty","3","10","172.47","Apple Pay"
337,199,"2022-02-23","1843","Africa","Home & Kitchen","1","0","305.24","Apple Pay"
338,199,"2022-02-23","1843","Africa","Beauty","5","20","255.5","Apple Pay"
339,199,"2022-02-23","1843","Africa","Beauty","3","10","357.51","Apple Pay"
340,200,"2024-04-24","1117","Europe","Fashion","4","30","149.2","Bank Transfer"
341,200,"2024-04-24","1117","Europe","Books","2","30","11.26","Bank Transfer"
342,201,"2024-06-02","1263","North America","Home & Kitchen","1","15","232.68","Debit Card"
343,202,"2023-05-21","1984","Europe","Electronics","3","15","860.82","Bank Transfer"
344,203,"2022-08-03","192","Africa","Home & Kitchen","2","15","438.26","Bank Transfer"
345,204,"2024-08-10","957","Africa","Beauty","2","10","99.36","Credit Card"
346,205,"2022-02-15","415","South America","Books","1","15","8.65","Bank Transfer"
347,205,"2022-02-15","415","South America","Beauty","2","0","213.04","Bank Transfer"
348,206,"2023-06-01","1475","Asia","Home & Kitchen","2","15","260.94","Apple Pay"
349,207,"2024-03-22","1255","North America","Fashion","1","15","153.84","UPI"
350,208,"2022-10-23","472","North America","Books","5","0","109.15","Apple Pay"
351,208,"2022-10-23","472","North America","Fashion","2","20","27.68","Apple Pay"
352,209,"2022-05-11","1913","Europe","Electronics","1","20","127.01","Apple Pay"
353,210,"2023-01-07","561","Middle East","Beauty","1","25","79.2","UPI"
354,210,"2023-01-07","561","Middle East","Beauty","2","15","225.52","UPI"
355,211,"2024-02-20","1448","Middle East","Home & Kitchen","1","5","200.58","Debit Card"
356,211,"2024-02-20","1448","Middle East","Fashion","3","10","433.35","Debit Card"
357,211,"2024-02-20","1448","Middle East","Beauty","1","5","59.11","Debit Card"
358,212,"2022-06-17","1839","South America","Electronics","3","15","1548.21","Credit Card"
359,212,"2022-06-17","1839","South America","Beauty","1","0","104.37","Credit Card"
