order_id,customer_id,order_date,customer_region,payment_method,shipping_type,total_quantity_sold,subtotal,shipping_fee,order_total
57,1907,2023-05-09,South America,UPI,Standard,3,939.4,0.0,939.4
58,1235,2023-07-23,North America,UPI,Express,4,482.16,0.0,482.16
59,1384,2022-12-31,South America,PayPal,Standard,5,615.47,0.0,615.47
60,1305,2023-02-06,Europe,Bank Transfer,Standard,1,27.7,5.99,33.69
61,1565,2023-06-04,Africa,Credit Card,Standard,3,501.06,0.0,501.06
62,1331,2023-07-16,North America,Bank Transfer,Standard,9,862.86,0.0,862.86
63,268,2024-01-27,Africa,Apple Pay,Standard,1,308.91,0.0,308.91
64,1420,2022-04-25,Africa,Apple Pay,Standard,3,812.28,0.0,812.28
65,187,2022-02-04,South America,Apple Pay,Standard,10,450.7,0.0,450.7
66,1743,2022-05-14,South America,,Standard,1,210.9,5.99,216.89
67,352,2023-02-11,South America,UPI,Express,3,842.64,0.0,842.64
68,92,2022-08-30,South America,Bank Transfer,Standard,8,2518.04,0.0,2518.04
69,21,2022-01-22,South America,PayPal,Standard,2,109.24,5.99,115.23
70,1044,2022-09-29,Middle East,UPI,Standard,2,131.19,5.99,137.18
71,1427,2022-12-29,North America,PayPal,Same Day,2,266.53,0.0,266.53
72,636,2022-12-16,Europe,Bank Transfer,Standard,2,106.08,5.99,112.07
73,1212,2023-12-12,Asia,Apple Pay,Standard,2,190.39,5.99,196.38
74,1651,2023-03-23,Middle East,Credit Card,Standard,7,766.51,0.0,766.51
75,1997,2024-01-05,Europe,Credit Card,Express,1,124.42,12.99,137.41
76,1397,2023-01-19,Africa,PayPal,Express,1,67.58,12.99,80.57
77,841,2024-06-09,Africa,UPI,Express,7,1004.15,0.0,1004.15
78,1078,2024-05-12,South America,PayPal,Standard,8,757.74,0.0,757.74
79,321,2022-07-05,North America,Debit Card,Standard,3,360.8,0.0,360.8
80,991,2024-06-13,Middle East,Debit Card,Standard,3,235.02,5.99,241.01
81,1125,2022-11-23,Europe,UPI,Standard,5,133.64,5.99,139.63
82,1498,2024-03-04,Africa,Debit Card,Standard,4,55.56,5.99,61.55
83,1361,2024-03-17,South America,PayPal,Standard,5,109.6,5.99,115.59
84,99,2023-04-27,South America,PayPal,Standard,2,1100.74,0.0,1100.74
85,345,2022-10-10,Asia,Credit Card,Standard,1,34.97,5.99,40.96
86,1470,2024-05-21,Middle East,PayPal,Standard,2,528.28,0.0,528.28
87,575,2022-12-01,South America,Bank Transfer,Standard,6,651.63,0.0,651.63
88,360,2024-07-20,Europe,Apple Pay,Standard,5,435.15,0.0,435.15
89,910,2022-08-17,South America,UPI,Express,4,227.14,12.99,240.13
90,1610,2023-02-09,Africa,Bank Transfer,Standard,2,179.93,5.99,185.92
91,205,2022-04-13,Europe,Apple Pay,Express,1,38.55,12.99,51.54
92,1363,2023-07-02,Middle East,PayPal,Standard,1,147.81,5.99,153.8
93,1872,2022-03-16,Europe,UPI,Standard,2,663.22,0.0,663.22
94,1379,2024-10-07,North America,PayPal,Standard,2,39.04,5.99,45.03
95,189,2022-03-25,South America,PayPal,Standard,1,23.95,5.99,29.94
96,1184,2023-11-23,Middle East,Apple Pay,Express,1,217.98,12.99,230.97
97,1971,2022-06-12,Asia,UPI,Express,8,927.64,0.0,927.64
98,1887,2023-01-16,South America,Apple Pay,Standard,4,137.36,5.99,143.35
99,1875,2022-01-11,Africa,Credit Card,Standard,2,777.84,0.0,777.84
100,1194,2023-03-29,South America,PayPal,Standard,5,305.49,0.0,305.49
101,615,2023-12-04,North America,PayPal,Standard,4,187.47,5.99,193.46
102,543,2024-09-23,Europe,PayPal,Standard,5,1535.4,0.0,1535.4
103,1255,2023-10-08,North America,UPI,Standard,2,693.72,0.0,693.72
104,1474,2022-02-17,Middle East,PayPal,Express,6,646.51,0.0,646.51
105,1029,2022-07-18,Africa,Debit Card,Standard,6,576.1,0.0,576.1
106,842,2024-10-25,Europe,UPI,Standard,2,197.54,5.99,203.53
107,360,2022-11-18,Europe,,Express,2,1272.98,0.0,1272.98
108,1276,2022-07-21,South America,Apple Pay,Standard,1,154.94,5.99,160.93
109,985,2022-10-11,Asia,Bank Transfer,Standard,8,1251.5,0.0,1251.5
110,468,2024-11-13,Middle East,Debit Card,Express,3,1135.08,0.0,1135.08
111,602,2023-10-23,North America,Credit Card,Standard,5,388.12,0.0,388.12
112,1638,2022-11-23,Africa,Apple Pay,Standard,11,705.15,0.0,705.15
113,1491,2024-06-17,North America,Apple Pay,Standard,1,46.02,5.99,52.01
114,1229,2024-01-15,Middle East,Bank Transfer,Standard,4,1584.29,0.0,1584.29
115,1540,2022-12-13,Asia,Apple Pay,Standard,3,171.9,5.99,177.89
116,1393,2023-11-07,Africa,Credit Card,Standard,3,162.15,5.99,168.14
117,1300,2023-08-28,South America,PayPal,Express,4,335.36,0.0,335.36
118,1761,2022-02-23,Europe,PayPal,Standard,3,124.49,5.99,130.48
119,395,2023-08-27,Asia,Apple Pay,Standard,1,195.33,5.99,201.32
120,221,2023-03-10,Europe,Debit Card,Standard,2,334.83,0.0,334.83
121,1843,2023-12-06,Africa,Bank Transfer,Standard,5,755.83,0.0,755.83
122,1585,2023-12-03,Africa,Debit Card,Standard,2,394.3,0.0,394.3
123,1544,2023-02-08,North America,UPI,Standard,6,804.81,0.0,804.81
124,642,2024-01-15,Europe,UPI,Standard,4,237.68,5.99,243.67
125,1719,2022-04-25,Europe,Bank Transfer,Standard,3,90.27,5.99,96.26
126,1995,2023-04-13,Africa,UPI,Express,1,44.53,12.99,57.52
127,1519,2022-05-11,Asia,Debit Card,Express,2,346.2,0.0,346.2
128,638,2023-10-16,Asia,Credit Card,Express,1,123.44,12.99,136.43
129,339,2023-03-17,South America,PayPal,Standard,5,756.6,0.0,756.6
130,662,2024-07-23,Asia,PayPal,Same Day,3,817.21,0.0,817.21
131,652,2023-06-26,North America,Debit Card,Express,2,1470.98,0.0,1470.98
132,880,2024-09-25,South America,Bank Transfer,Standard,1,114.18,5.99,120.17
133,1718,2022-07-13,Asia,UPI,Express,2,176.02,12.99,189.01
134,556,2023-04-20,North America,Bank Transfer,Standard,1,99.33,5.99,105.32
135,1591,2022-11-13,North America,Debit Card,Standard,5,1996.98,0.0,1996.98
136,1566,2023-07-06,Middle East,PayPal,Standard,1,198.54,5.99,204.53
137,972,2023-10-08,Asia,UPI,Standard,2,730.41,0.0,730.41
138,1633,2024-07-24,South America,Credit Card,Express,7,683.83,0.0,683.83
139,1700,2023-03-17,Asia,UPI,Standard,6,2243.45,0.0,2243.45
140,122,2023-05-27,South America,Bank Transfer,Standard,3,207.97,5.99,213.96
141,509,2022-08-16,Middle East,Apple Pay,Standard,3,468.72,0.0,468.72
142,303,2023-02-14,North America,UPI,Standard,2,393.66,0.0,393.66
143,1035,2022-02-14,Middle East,Credit Card,Standard,6,414.24,0.0,414.24
144,535,2023-11-14,Middle East,Apple Pay,Standard,3,152.22,5.99,158.21
145,1738,2024-04-21,Africa,UPI,Standard,2,81.47,5.99,87.46
146,1474,2024-10-29,Middle East,PayPal,Express,3,163.55,12.99,176.54
147,802,2024-12-25,Asia,Bank Transfer,Standard,8,1205.58,0.0,1205.58
148,1465,2023-11-08,Europe,Apple Pay,Standard,6,1407.02,0.0,1407.02
149,569,2022-01-14,Africa,UPI,Standard,1,433.77,0.0,433.77
150,1249,2024-12-26,Africa,Apple Pay,Standard,2,127.46,5.99,133.45
151,1036,2023-01-22,Africa,Debit Card,Express,1,49.85,12.99,62.84
152,1214,2022-09-18,North America,Credit Card,Standard,4,561.16,0.0,561.16
153,502,2023-09-13,Middle East,PayPal,Standard,1,45.45,5.99,51.44
154,1787,2024-06-19,South America,UPI,Standard,3,1371.24,0.0,1371.24
155,865,2024-06-17,Europe,Debit Card,Standard,5,722.37,0.0,722.37
156,283,2022-11-30,Europe,Credit Card,Express,6,2252.07,0.0,2252.07
157,1136,2024-07-24,Africa,UPI,Standard,10,3348.04,0.0,3348.04
158,1936,2024-08-23,Asia,PayPal,Standard,2,1089.59,0.0,1089.59
159,391,2024-08-20,Asia,Credit Card,Express,5,358.71,0.0,358.71
160,71,2022-12-20,North America,Bank Transfer,Standard,10,2358.17,0.0,2358.17
161,1392,2023-11-11,Europe,UPI,Standard,1,440.5,0.0,440.5
162,303,2022-11-20,North America,PayPal,Standard,7,573.41,0.0,573.41
163,1696,2023-09-30,South America,PayPal,Standard,2,1374.9,0.0,1374.9
164,1820,2024-09-05,South America,Bank Transfer,Standard,2,126.28,5.99,132.27
165,1898,2023-04-07,Middle East,Apple Pay,Standard,1,523.37,0.0,523.37
166,573,2023-01-14,South America,PayPal,Express,2,44.04,12.99,57.03
167,1142,2022-09-27,Africa,PayPal,Standard,4,174.3,5.99,180.29
168,932,2022-01-30,Africa,Credit Card,Standard,5,440.6,0.0,440.6
169,1019,2023-03-16,Europe,PayPal,Standard,4,1513.48,0.0,1513.48
170,1440,2023-11-30,North America,UPI,Express,5,483.76,0.0,483.76
171,902,2024-05-23,Middle East,Bank Transfer,Standard,5,1180.7,0.0,1180.7
172,964,2023-08-29,North America,PayPal,Standard,2,381.34,0.0,381.34
173,1176,2024-03-25,Africa,Bank Transfer,Express,2,504.62,0.0,504.62
174,1559,2023-12-26,North America,Debit Card,Standard,4,1801.12,0.0,1801.12
175,1259,2024-02-06,Middle East,Apple Pay,Standard,3,751.59,0.0,751.59
176,1333,2024-05-18,South America,PayPal,Express,4,461.24,0.0,461.24
177,517,2024-09-02,Africa,Debit Card,Standard,3,538.95,0.0,538.95
178,979,2022-05-02,North America,Debit Card,Express,3,360.03,0.0,360.03
179,387,2024-03-12,Asia,Apple Pay,Express,1,113.08,12.99,126.07
180,585,2023-04-09,South America,PayPal,Same Day,1,34.34,21.99,56.33
181,390,2023-02-26,Middle East,Apple Pay,Standard,1,37.79,5.99,43.78
182,1562,2024-12-09,Asia,Apple Pay,Standard,4,1833.42,0.0,1833.42
183,1925,2023-07-12,Africa,Credit Card,Same Day,1,246.39,21.99,268.38
184,363,2022-12-11,North America,Apple Pay,Express,6,441.41,0.0,441.41
185,1737,2024-06-04,North America,Apple Pay,Standard,1,60.25,5.99,66.24
186,1535,2023-05-31,Africa,PayPal,Standard,1,23.71,5.99,29.7
187,251,2022-07-27,Asia,UPI,Express,1,770.74,0.0,770.74
188,950,2024-02-09,South America,Apple Pay,Standard,2,54.74,5.99,60.73
189,1633,2022-07-14,South America,Debit Card,Standard,2,1317.24,0.0,1317.24
190,866,2023-12-13,North America,UPI,Standard,6,3344.92,0.0,3344.92
191,1492,2024-04-24,Asia,Apple Pay,Express,1,27.19,12.99,40.18
192,190,2023-05-25,North America,Credit Card,Standard,5,98.15,5.99,104.14
193,1997,2023-03-05,Europe,Bank Transfer,Standard,6,1232.67,0.0,1232.67
194,524,2023-10-11,Europe,Credit Card,Express,7,1645.4,0.0,1645.4
195,1997,2024-01-11,Europe,Debit Card,Express,1,21.8,12.99,34.79
196,1991,2022-12-31,Europe,Apple Pay,Standard,1,281.87,0.0,281.87
197,1555,2023-06-24,Middle East,PayPal,Standard,5,845.98,0.0,845.98
198,55,2022-06-18,Europe,Debit Card,Standard,1,18.97,5.99,24.96
199,1843,2022-02-23,Africa,Apple Pay,Standard,12,1090.72,0.0,1090.72
200,1117,2024-04-24,Europe,Bank Transfer,Standard,6,160.46,5.99,166.45
201,1263,2024-06-02,North America,Debit Card,Standard,1,232.68,5.99,238.67
202,1984,2023-05-21,Europe,Bank Transfer,Express,3,860.82,0.0,860.82
203,192,2022-08-03,Africa,Bank Transfer,Express,2,438.26,0.0,438.26
204,957,2024-08-10,Africa,Credit Card,Standard,2,99.36,5.99,105.35
205,415,2022-02-15,South America,Bank Transfer,Standard,3,221.69,5.99,227.68
206,1475,2023-06-01,Asia,Apple Pay,Same Day,2,260.94,0.0,260.94
207,1255,2024-03-22,North America,UPI,Standard,1,153.84,5.99,159.83
208,472,2022-10-23,North America,Apple Pay,Express,7,136.83,12.99,149.82
209,1913,2022-05-11,Europe,Apple Pay,Standard,1,127.01,5.99,133.0
210,561,2023-01-07,Middle East,UPI,Standard,3,304.72,0.0,304.72
211,1448,2024-02-20,Middle East,Debit Card,Express,5,693.04,0.0,693.04
212,1839,2022-06-17,South America,Credit Card,Standard,4,1652.58,0.0,1652.58
213,1376,2022-01-10,Asia,PayPal,Standard,2,1803.0,0.0,1803.0
214,1721,2023-01-22,South America,UPI,Standard,5,474.45,0.0,474.45
215,158,2024-02-06,South America,UPI,Standard,3,131.78,5.99,137.77
216,807,2023-10-01,Middle East,Credit Card,Same Day,2,243.36,21.99,265.35
217,635,2024-10-16,North America,Debit Card,Standard,14,3329.42,0.0,3329.42
218,752,2022-03-27,Europe,UPI,Standard,5,2229.15,0.0,2229.15
219,1679,2023-08-02,Asia,UPI,Standard,5,595.45,0.0,595.45
220,452,2022-08-02,Africa,UPI,Standard,5,336.91,0.0,336.91
221,1798,2023-01-21,South America,PayPal,Same Day,6,406.27,0.0,406.27
222,949,2023-12-22,Europe,Credit Card,Same Day,8,270.58,0.0,270.58
223,525,2023-03-30,Middle East,Credit Card,Express,2,38.5,12.99,51.49
224,1163,2023-08-18,North America,Debit Card,Standard,6,2242.02,0.0,2242.02
225,1917,2022-11-16,Asia,Debit Card,Standard,6,618.1,0.0,618.1
226,1237,2023-02-24,Europe,Apple Pay,Same Day,2,241.8,21.99,263.79
227,1666,2024-09-26,South America,Credit Card,Standard,3,297.9,0.0,297.9
228,1687,2022-11-22,Middle East,UPI,Express,1,25.46,12.99,38.45
229,1849,2024-03-26,Africa,,Standard,1,41.35,5.99,47.34
230,479,2023-02-18,Europe,Bank Transfer,Same Day,5,878.86,0.0,878.86
231,375,2023-05-11,Europe,PayPal,Standard,1,458.86,0.0,458.86
232,1092,2023-03-07,Asia,Credit Card,Express,2,271.51,0.0,271.51
233,110,2024-03-12,Europe,PayPal,Standard,1,104.53,5.99,110.52
234,1836,2022-02-21,Asia,Credit Card,Express,6,373.58,0.0,373.58
235,1863,2022-12-14,Europe,PayPal,Express,4,719.56,0.0,719.56
236,865,2024-02-20,Europe,Credit Card,Standard,5,338.95,0.0,338.95
237,1671,2024-03-01,Europe,Bank Transfer,Standard,2,43.74,5.99,49.73
238,750,2024-07-20,Europe,Debit Card,Standard,1,64.27,5.99,70.26
239,103,2024-03-06,Africa,Debit Card,Same Day,1,600.94,0.0,600.94
240,384,2023-04-10,Middle East,Debit Card,Same Day,6,580.41,0.0,580.41
241,587,2023-10-30,South America,Debit Card,Standard,2,88.5,5.99,94.49
242,1366,2024-08-06,Africa,UPI,Standard,1,257.37,0.0,257.37
243,867,2024-07-15,Europe,Bank Transfer,Standard,1,96.97,5.99,102.96
244,1408,2024-02-27,Asia,UPI,Same Day,1,54.61,21.99,76.6
245,1837,2023-07-14,North America,Apple Pay,Same Day,3,515.65,0.0,515.65
246,1866,2022-09-25,Asia,UPI,Express,3,45.75,12.99,58.74
247,1846,2022-07-18,Middle East,Credit Card,Express,3,433.26,0.0,433.26
248,1178,2023-10-04,Middle East,PayPal,Same Day,4,309.44,0.0,309.44
249,745,2024-01-14,Asia,PayPal,Standard,2,194.87,5.99,200.86
250,1817,2022-11-08,Middle East,Credit Card,Standard,2,142.37,5.99,148.36
251,620,2022-08-21,Middle East,Debit Card,Standard,6,2591.55,0.0,2591.55
252,1770,2023-01-08,North America,Credit Card,Standard,9,1520.17,0.0,1520.17
253,324,2023-10-19,Europe,Credit Card,Standard,1,98.03,5.99,104.02
254,1396,2022-12-13,North America,PayPal,Standard,5,4362.25,0.0,4362.25
255,800,2022-12-08,South America,Debit Card,Standard,2,148.62,5.99,154.61
256,765,2022-06-14,North America,Credit Card,Standard,2,99.36,5.99,105.35
257,1854,2023-02-13,Africa,UPI,Express,2,440.68,0.0,440.68
258,686,2024-04-13,Middle East,Debit Card,Express,6,1075.85,0.0,1075.85
259,375,2022-09-21,Europe,Credit Card,Express,1,287.2,0.0,287.2
260,49,2022-06-04,Europe,Credit Card,Standard,5,147.74,5.99,153.73
261,34,2023-11-09,North America,Credit Card,Express,6,1173.94,0.0,1173.94
262,1436,2022-01-08,Asia,Apple Pay,Standard,2,388.14,0.0,388.14
263,1890,2024-09-01,South America,Apple Pay,Express,7,1385.3,0.0,1385.3
264,1823,2022-09-11,Africa,Credit Card,Express,1,243.0,12.99,255.99
265,1046,2024-04-24,Middle East,PayPal,Standard,3,851.04,0.0,851.04
266,429,2023-07-31,South America,Credit Card,Express,1,19.7,12.99,32.69
267,153,2022-06-13,Africa,Apple Pay,Standard,3,360.42,0.0,360.42
268,1550,2022-05-15,Europe,Apple Pay,Standard,5,220.67,5.99,226.66
269,634,2022-12-16,North America,PayPal,Standard,1,163.27,5.99,169.26
270,398,2024-08-07,South America,UPI,Express,2,60.76,12.99,73.75
271,374,2022-10-13,South America,UPI,Express,6,927.57,0.0,927.57
272,1999,2023-02-10,Europe,UPI,Standard,4,1170.52,0.0,1170.52
273,568,2023-01-25,Europe,Apple Pay,Standard,4,153.88,5.99,159.87
274,240,2023-12-25,South America,Credit Card,Same Day,9,862.71,0.0,862.71
275,87,2022-09-07,Asia,Bank Transfer,Standard,1,192.11,5.99,198.1
276,1024,2024-01-27,North America,UPI,Standard,1,119.41,5.99,125.4
277,1951,2023-10-03,Europe,UPI,Standard,2,798.88,0.0,798.88
278,776,2023-05-01,Europe,Debit Card,Express,4,857.84,0.0,857.84
279,754,2024-02-26,Asia,Bank Transfer,Express,2,111.06,12.99,124.05
280,1076,2022-05-18,South America,Debit Card,Standard,3,232.4,5.99,238.39
281,897,2023-11-02,North America,Bank Transfer,Standard,3,490.44,0.0,490.44
282,1195,2023-10-06,South America,Bank Transfer,Standard,4,168.52,5.99,174.51
283,1852,2023-08-29,North America,Apple Pay,Express,5,1279.06,0.0,1279.06
284,749,2023-08-30,Middle East,Apple Pay,Standard,2,757.53,0.0,757.53
285,1660,2024-06-28,Asia,Credit Card,Express,4,943.82,0.0,943.82
286,1777,2024-01-26,Asia,Apple Pay,Standard,2,158.06,5.99,164.05
287,223,2022-12-31,Europe,Credit Card,Standard,4,1353.62,0.0,1353.62
288,1925,2022-05-11,Africa,Debit Card,Express,1,824.98,0.0,824.98
289,483,2024-01-02,South America,UPI,Standard,2,223.88,5.99,229.87
290,1362,2024-03-21,North America,Bank Transfer,Express,3,277.16,0.0,277.16
291,1713,2024-09-07,South America,Debit Card,Standard,5,318.03,0.0,318.03
292,376,2022-02-09,Middle East,PayPal,Standard,2,58.44,5.99,64.43
293,1507,2023-03-04,Asia,UPI,Standard,1,198.4,5.99,204.39
294,1247,2024-03-24,Africa,Bank Transfer,Standard,3,2206.38,0.0,2206.38
295,1409,2022-11-24,Africa,Bank Transfer,Express,1,46.61,12.99,59.6
296,1388,2023-08-08,North America,UPI,Standard,4,197.82,5.99,203.81
297,1256,2023-02-14,Europe,Apple Pay,Express,5,177.27,12.99,190.26
298,3,2023-06-01,Middle East,Credit Card,Standard,3,244.02,5.99,250.01
299,1213,2024-10-20,Africa,UPI,Same Day,7,3448.0,0.0,3448.0
300,872,2022-06-09,North America,Credit Card,Standard,7,1960.66,0.0,1960.66
301,665,2023-03-17,Europe,UPI,Standard,2,140.84,5.99,146.83
302,1939,2023-09-11,South America,UPI,Standard,4,353.14,0.0,353.14
303,109,2024-07-21,Africa,Bank Transfer,Express,2,133.17,12.99,146.16
304,1534,2022-05-14,North America,UPI,Standard,1,47.19,5.99,53.18
305,1175,2022-01-28,Middle East,Credit Card,Standard,6,416.85,0.0,416.85
306,709,2023-01-21,Middle East,UPI,Standard,7,2392.82,0.0,2392.82
307,881,2024-01-23,Europe,UPI,Standard,3,1483.2,0.0,1483.2
308,1021,2022-12-23,North America,PayPal,Standard,3,51.9,5.99,57.89
309,139,2024-04-15,Asia,UPI,Standard,4,1339.24,0.0,1339.24
310,1649,2024-08-13,Europe,Bank Transfer,Standard,9,456.86,0.0,456.86
311,1725,2023-02-26,Africa,UPI,Express,4,505.16,0.0,505.16
312,1361,2024-11-30,South America,Credit Card,Standard,2,491.98,0.0,491.98
313,490,2023-11-17,North America,PayPal,Standard,5,1219.08,0.0,1219.08
314,1214,2024-04-15,North America,Credit Card,Express,1,51.42,12.99,64.41
315,1488,2022-01-02,Africa,Bank Transfer,Express,2,155.88,12.99,168.87
316,1674,2022-07-17,Middle East,Debit Card,Same Day,1,280.58,0.0,280.58
317,415,2022-05-18,South America,Credit Card,Standard,2,520.9,0.0,520.9
318,208,2023-12-04,South America,Debit Card,Standard,4,466.32,0.0,466.32
319,1938,2024-10-03,Middle East,UPI,Same Day,1,265.82,0.0,265.82
320,127,2022-07-20,Africa,Bank Transfer,Standard,5,846.26,0.0,846.26
321,1536,2024-08-30,Asia,Credit Card,Standard,1,163.1,5.99,169.09
322,3,2024-08-19,Middle East,PayPal,Standard,4,485.37,0.0,485.37
323,111,2024-11-02,Europe,Bank Transfer,Standard,2,1270.56,0.0,1270.56
324,577,2023-06-03,Asia,Apple Pay,Standard,4,227.44,5.99,233.43
325,1007,2022-03-23,Asia,PayPal,Standard,1,86.05,5.99,92.04
326,12,2024-09-14,North America,Credit Card,Standard,3,108.81,5.99,114.8
327,1764,2023-04-03,Middle East,Apple Pay,Standard,5,3270.03,0.0,3270.03
328,1038,2022-02-18,South America,PayPal,Standard,2,751.83,0.0,751.83
329,208,2023-07-26,South America,Apple Pay,Standard,1,78.38,5.99,84.37
330,1483,2024-08-30,North America,Debit Card,Standard,7,4200.68,0.0,4200.68
331,1220,2023-01-15,Middle East,Credit Card,Standard,3,996.94,0.0,996.94
332,381,2024-11-10,Asia,Credit Card,Express,3,1414.96,0.0,1414.96
333,1010,2023-03-14,Europe,UPI,Standard,1,21.65,5.99,27.64
334,250,2022-10-27,Asia,,Standard,1,89.73,5.99,95.72
335,338,2022-12-04,Africa,UPI,Standard,8,689.39,0.0,689.39
336,1642,2024-03-11,Middle East,Debit Card,Standard,5,202.78,5.99,208.77
337,1105,2023-05-10,Middle East,PayPal,Standard,1,281.18,0.0,281.18
338,146,2022-10-26,Europe,Credit Card,Express,1,387.68,0.0,387.68
339,43,2023-09-14,Europe,Bank Transfer,Express,3,716.4,0.0,716.4
340,624,2024-03-01,Middle East,Apple Pay,Express,7,1985.45,0.0,1985.45
341,472,2022-07-06,North America,PayPal,Express,6,1235.4,0.0,1235.4
342,1087,2023-10-04,North America,PayPal,Express,5,475.16,0.0,475.16
343,521,2022-10-13,South America,Apple Pay,Express,2,152.82,12.99,165.81
344,914,2023-02-23,Middle East,Bank Transfer,Express,3,278.29,0.0,278.29
345,1433,2023-01-10,Asia,UPI,Express,2,531.18,0.0,531.18
346,1090,2023-12-01,North America,Bank Transfer,Standard,5,2019.65,0.0,2019.65
347,1727,2022-05-17,South America,PayPal,Standard,10,1900.36,0.0,1900.36
348,1043,2024-09-02,South America,PayPal,Standard,1,246.27,5.99,252.26
349,167,2022-05-24,North America,Bank Transfer,Standard,4,436.18,0.0,436.18
350,474,2022-01-21,South America,Bank Transfer,Standard,4,206.28,5.99,212.27
351,1713,2023-04-30,South America,Bank Transfer,Standard,2,153.15,5.99,159.14
352,491,2022-07-06,Middle East,Bank Transfer,Standard,9,4232.12,0.0,4232.12
